behavior,crossing_ids,ctrl_state,ctrl_v,ego_v,ego_x,ego_y,ego_yaw,lead_car_v,lead_car_x,lead_car_y,lead_car_yaw,perc_count,perc_full,perc_near_x,t
,-,NO_PATH,3.75903567e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.3:0.1:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.1:0.03:0;5:43.4:-25.6:6.0:6.0:0.09:0;6:21.0:-44.5:0.3:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.285860445367774,15.360000000000001
,-,NO_PATH,1.13434056e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.3:0.1:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.1:0.03:0;5:43.4:-25.6:6.0:6.0:0.09:0;6:21.0:-44.5:0.3:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.285860445367774,15.38
,-,NO_PATH,1.13434056e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.3:0.1:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.1:0.03:0;5:43.4:-25.6:6.0:6.0:0.09:0;6:21.0:-44.5:0.3:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.285860445367774,15.4
,-,NO_PATH,1.17332899e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.3:0.1:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.1:0.03:0;5:43.4:-25.6:6.0:6.0:0.09:0;6:21.0:-44.5:0.3:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.285860445367774,15.421000000000001
,-,NO_PATH,-1.33777706e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.06:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.02:0;5:43.4:-25.6:6.0:6.0:0.08:0;6:21.0:-44.5:0.3:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28583627209987,15.440000000000001
,-,NO_PATH,9.03818918e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.06:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.02:0;5:43.4:-25.6:6.0:6.0:0.08:0;6:21.0:-44.5:0.3:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28583627209987,15.46
,-,NO_PATH,5.00937378e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.06:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.02:0;5:43.4:-25.6:6.0:6.0:0.08:0;6:21.0:-44.5:0.3:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28583627209987,15.48
,-,NO_PATH,5.00937378e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.06:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.02:0;5:43.4:-25.6:6.0:6.0:0.08:0;6:21.0:-44.5:0.3:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28583627209987,15.500000000000002
,-,NO_PATH,3.3562498e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.06:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.02:0;5:43.4:-25.6:6.0:6.0:0.08:0;6:21.0:-44.5:0.3:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28583627209987,15.520000000000001
,-,NO_PATH,3.3562498e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.3:0.1:0.05:0;2:21.1:-55.5:0.3:0.1:0.03:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.1:0.02:0;5:43.4:-25.6:6.0:6.0:0.07:0;6:21.0:-44.5:0.2:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.2844767000596,15.540000000000001
,-,NO_PATH,9.99932323e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.3:0.1:0.05:0;2:21.1:-55.5:0.3:0.1:0.03:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.1:0.02:0;5:43.4:-25.6:6.0:6.0:0.07:0;6:21.0:-44.5:0.2:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.2844767000596,15.56
,-,NO_PATH,-2.22550886e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.3:0.1:0.05:0;2:21.1:-55.5:0.3:0.1:0.03:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.1:0.02:0;5:43.4:-25.6:6.0:6.0:0.07:0;6:21.0:-44.5:0.2:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.2844767000596,15.580000000000002
,-,NO_PATH,3.20413352e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.3:0.1:0.05:0;2:21.1:-55.5:0.3:0.1:0.03:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.1:0.02:0;5:43.4:-25.6:6.0:6.0:0.07:0;6:21.0:-44.5:0.2:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.2844767000596,15.600000000000001
,-,NO_PATH,-4.08026204e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.3:0.1:0.05:0;2:21.1:-55.5:0.3:0.1:0.03:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.3:0.1:0.02:0;5:43.4:-25.6:6.0:6.0:0.07:0;6:21.0:-44.5:0.2:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.2844767000596,15.620000000000001
,-,NO_PATH,2.35485475e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.1:0.01:0;5:43.5:-25.6:6.0:6.0:0.07:0;6:21.1:-44.5:0.2:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.284467697649376,15.64
,-,NO_PATH,6.27583826e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.1:0.01:0;5:43.5:-25.6:6.0:6.0:0.07:0;6:21.1:-44.5:0.2:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.284467697649376,15.66
,-,NO_PATH,1.516023e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.1:0.01:0;5:43.5:-25.6:6.0:6.0:0.07:0;6:21.1:-44.5:0.2:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.284467697649376,15.680000000000001
,-,NO_PATH,1.516023e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.1:0.01:0;5:43.5:-25.6:6.0:6.0:0.07:0;6:21.1:-44.5:0.2:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.284467697649376,15.700000000000001
,-,NO_PATH,1.17119475e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.2:0.05:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.1:0.01:0;5:43.5:-25.6:6.0:6.0:0.07:0;6:21.1:-44.5:0.2:0.2:0.03:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.284467697649376,15.72
,-,NO_PATH,1.67197942e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.1:0.06:0;2:21.1:-55.5:0.3:0.1:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.00:0;5:43.5:-25.6:6.0:6.0:0.04:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28436670237583,15.74
,-,NO_PATH,5.92224735e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.1:0.06:0;2:21.1:-55.5:0.3:0.1:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.00:0;5:43.5:-25.6:6.0:6.0:0.04:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28436670237583,15.760000000000002
,-,NO_PATH,3.64991883e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.1:0.06:0;2:21.1:-55.5:0.3:0.1:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.00:0;5:43.5:-25.6:6.0:6.0:0.04:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28436670237583,15.780000000000001
,-,NO_PATH,3.64991883e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,0.0,45.0,-51.75,0.0,7,1:40.9:-55.5:0.2:0.1:0.06:0;2:21.1:-55.5:0.3:0.1:0.02:0;3:44.2:-51.8:1.7:0.1:0.00:4;4:40.9:-44.6:0.2:0.2:0.00:0;5:43.5:-25.6:6.0:6.0:0.04:0;6:21.1:-44.5:0.2:0.2:0.02:0;8:22.7:-6.6:6.0:0.2:0.00:4,43.28436670237583,15.8
