behavior,crossing_ids,crossing_pedestrian_v,crossing_pedestrian_x,crossing_pedestrian_y,crossing_pedestrian_yaw,ctrl_state,ctrl_v,ego_v,ego_x,ego_y,ego_yaw,perc_count,perc_full,perc_near_x,t
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,-1.83466396e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.03:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:40.9:-44.6:0.3:0.1:0.03:0;4:43.4:-25.6:6.0:6.0:0.00:0;5:21.0:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.01:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.84
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.13557181e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.03:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:40.9:-44.6:0.3:0.1:0.03:0;4:43.4:-25.6:6.0:6.0:0.00:0;5:21.0:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.01:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.860000000000001
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,7.91265688e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.03:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:40.9:-44.6:0.3:0.1:0.03:0;4:43.4:-25.6:6.0:6.0:0.00:0;5:21.0:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.01:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.88
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,2.46976701e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.03:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:40.9:-44.6:0.3:0.1:0.03:0;4:43.4:-25.6:6.0:6.0:0.00:0;5:21.0:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.01:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.9
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,-5.72915706e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.03:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:40.9:-44.6:0.3:0.1:0.03:0;4:43.4:-25.6:6.0:6.0:0.00:0;5:21.0:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.01:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.92
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.18432128e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.03:0;2:21.1:-55.5:0.2:0.2:0.02:0;3:40.9:-44.6:0.3:0.1:0.03:0;4:43.4:-25.6:6.0:6.0:0.00:0;5:21.0:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.01:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.940000000000001
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,1.18432128e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.02:0;2:21.1:-55.5:0.3:0.1:0.02:0;3:40.9:-44.6:0.3:0.1:0.03:0;4:43.4:-25.6:6.0:6.0:0.00:0;5:21.0:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.00:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.96
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,8.67153361e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.02:0;2:21.1:-55.5:0.3:0.1:0.02:0;3:40.9:-44.6:0.3:0.1:0.03:0;4:43.4:-25.6:6.0:6.0:0.00:0;5:21.0:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.00:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,9.98
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,6.37007366e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.02:0;2:21.1:-55.5:0.3:0.1:0.02:0;3:40.9:-44.6:0.3:0.1:0.03:0;4:43.4:-25.6:6.0:6.0:0.00:0;5:21.0:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.00:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,10.001000000000001
,-,0.0,55.0,-46.0,-1.5707963267948963,NO_PATH,3.03043092e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,7,1:40.9:-55.5:0.2:0.2:0.02:0;2:21.1:-55.5:0.3:0.1:0.02:0;3:40.9:-44.6:0.3:0.1:0.03:0;4:43.4:-25.6:6.0:6.0:0.00:0;5:21.0:-44.5:0.2:0.2:0.01:0;6:54.8:-46.0:0.3:0.1:0.00:4;7:22.7:-6.6:6.0:0.1:0.00:4,nan,10.020000000000001
