behavior,ctrl_state,ctrl_v,ego_v,ego_x,ego_y,ego_yaw,lead_car_v,lead_car_x,lead_car_y,lead_car_yaw,perc_near_x,t
CRUISE,TRACKING,5.55566918,5.557275999711584,91.95835160182057,1.0102830830763092,1.5540071763326708,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.16000000000001
CRUISE,TRACKING,5.55567608,5.550535493071986,91.96015426213327,1.121289750915729,1.555166664221089,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.18
CRUISE,TRACKING,5.55567608,5.550423110757064,91.96182778806451,1.2322867660291728,1.5563331883554743,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.2
CRUISE,TRACKING,5.55568284,5.550196225763503,91.96337148790768,1.3432807992598577,1.5575045406207606,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.22
CRUISE,TRACKING,5.55569593,5.54992789663098,91.96478496486634,1.4542716589803022,1.558678515461426,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.24000000000001
CRUISE,TRACKING,5.55569593,5.555515969473957,91.96606977916397,1.5653567957208068,1.5598291261562207,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.26
CRUISE,TRACKING,5.55570228,5.554210555792944,91.96722978892038,1.6764422954799207,1.560926601963009,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.28
CRUISE,TRACKING,5.55571457,5.553408267203073,91.96826990094466,1.787510927662106,1.5619846689130257,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.301
CRUISE,TRACKING,5.55572052,5.5528954323766415,91.96919440967358,1.8985689301257385,1.5630130017857686,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.32000000000001
CRUISE,TRACKING,5.55572052,5.556577092678478,91.97000643164978,2.009662039478962,1.5640186776432556,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.34
CRUISE,TRACKING,5.55573206,5.554967415712271,91.97070775425803,2.120769383412359,1.5649867396482233,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.36
CRUISE,TRACKING,5.55573206,5.556189328819938,91.97130462716498,2.2318842311299645,1.5659005875043068,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.38000000000001
CRUISE,TRACKING,5.55574312,5.556992409930849,91.97180227906135,2.3430174498342824,1.5667739252609998,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.4
CRUISE,TRACKING,5.55574848,5.557538491596228,91.97220462190211,2.454163292490006,1.5676164052502748,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.42
CRUISE,TRACKING,5.55575373,5.557967652282216,91.97251468218121,2.565318960780261,1.5684347898261175,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.44
CRUISE,TRACKING,5.55575373,5.554783297559795,91.97273531106784,2.67642749151479,1.5692154849919655,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.46000000000001
CRUISE,TRACKING,5.55575887,5.555820084469644,91.97287189375216,2.7875374603355003,1.5699484526955674,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.48
CRUISE,TRACKING,5.55576882,5.556517652299394,91.97292899883686,2.898663061472988,1.5706458463053983,0.0,104.10300000000224,-51.75,0.0,103.25300000000223,77.5
