topic,key,t_s,value
/control/diagnostics,cycle_time_ms,70.52,0.0
/control/diagnostics,cycle_time_ms,70.54,0.0
/control/diagnostics,cycle_time_ms,70.56,0.0
/control/diagnostics,cycle_time_ms,70.58,0.0
/planning/diagnostics,cycle_ms,70.6,0.03778
/control/diagnostics,cycle_time_ms,70.6,0.0
/control/diagnostics,cycle_time_ms,70.62,0.0
/control/diagnostics,cycle_time_ms,70.64,0.0
/control/diagnostics,cycle_time_ms,70.66,0.0
/control/diagnostics,cycle_time_ms,70.68,0.0
/planning/diagnostics,cycle_ms,70.7,0.054391
/control/diagnostics,cycle_time_ms,70.7,0.0
/control/diagnostics,cycle_time_ms,70.72,0.0
/control/diagnostics,cycle_time_ms,70.74,0.0
/control/diagnostics,cycle_time_ms,70.76,0.0
/control/diagnostics,cycle_time_ms,70.78,0.0
/planning/diagnostics,cycle_ms,70.8,0.035416
/control/diagnostics,cycle_time_ms,70.8,0.0
/control/diagnostics,cycle_time_ms,70.82,0.0
/control/diagnostics,cycle_time_ms,70.84,0.0
/control/diagnostics,cycle_time_ms,70.86,0.0
/control/diagnostics,cycle_time_ms,70.88,0.0
/planning/diagnostics,cycle_ms,70.9,0.034494
/control/diagnostics,cycle_time_ms,70.9,0.0
/control/diagnostics,cycle_time_ms,70.92,0.0
/control/diagnostics,cycle_time_ms,70.94,0.0
/control/diagnostics,cycle_time_ms,70.96,0.0
/control/diagnostics,cycle_time_ms,70.98,0.0
/planning/diagnostics,cycle_ms,71.0,0.044303
/control/diagnostics,cycle_time_ms,71.0,0.0
/control/diagnostics,cycle_time_ms,71.02,0.0
/control/diagnostics,cycle_time_ms,71.04,0.0
/perception/diagnostics,ground_ms,71.0,2.782115
/perception/diagnostics,cluster_ms,71.0,16.07911
/perception/diagnostics,fit_ms,71.0,2.850726
/perception/diagnostics,track_ms,71.0,0.060332
/perception/diagnostics,total_ms,71.0,21.88359
/control/diagnostics,cycle_time_ms,71.06,0.0
/control/diagnostics,cycle_time_ms,71.08,0.0
/planning/diagnostics,cycle_ms,71.1,0.059851
/control/diagnostics,cycle_time_ms,71.1,0.0
/control/diagnostics,cycle_time_ms,71.12,0.0
/control/diagnostics,cycle_time_ms,71.14,0.0
/control/diagnostics,cycle_time_ms,71.16,0.0
/control/diagnostics,cycle_time_ms,71.18,0.0
/planning/diagnostics,cycle_ms,71.2,0.036448
/control/diagnostics,cycle_time_ms,71.2,0.0
/control/diagnostics,cycle_time_ms,71.22,0.0
/control/diagnostics,cycle_time_ms,71.24,0.0
/control/diagnostics,cycle_time_ms,71.26,0.0
/control/diagnostics,cycle_time_ms,71.28,0.0
/planning/diagnostics,cycle_ms,71.3,0.03741
/control/diagnostics,cycle_time_ms,71.3,0.0
/control/diagnostics,cycle_time_ms,71.32,0.0
/control/diagnostics,cycle_time_ms,71.343,0.0
/control/diagnostics,cycle_time_ms,71.36,0.0
/control/diagnostics,cycle_time_ms,71.38,0.0
/planning/diagnostics,cycle_ms,71.4,0.059611
/control/diagnostics,cycle_time_ms,71.4,0.0
/control/diagnostics,cycle_time_ms,71.42,0.0
/control/diagnostics,cycle_time_ms,71.44,0.0
/control/diagnostics,cycle_time_ms,71.46,0.0
/control/diagnostics,cycle_time_ms,71.48,0.0
/control/diagnostics,cycle_time_ms,71.5,0.0
/planning/diagnostics,cycle_ms,71.5,0.057828
/control/diagnostics,cycle_time_ms,71.52,0.0
/control/diagnostics,cycle_time_ms,71.541,0.0
/control/diagnostics,cycle_time_ms,71.56,0.0
/control/diagnostics,cycle_time_ms,71.58,0.0
